tenss	etenss	currr	ecurr
0.017328644	0.024034657	0.018166713	0.00084333424
0.1781937	0.024356388	0.01957126	0.0008714252
0.3186093	0.024637219	0.021179067	0.00090358133
0.48983118	0.024979662	0.023566145	0.0009513229
0.66695589	0.025333911	0.025128147	0.00098256289
0.82510638	0.025650213	0.026288778	0.0010057755
0.95248693	0.025904974	0.027417239	0.0010283447
1.143845	0.02628769	0.029568171	0.0010713635
1.2401252	0.02648025	0.031503227	0.0011100646
1.441161	0.026882323	0.032033671	0.0011206734
1.6121162	0.027224232	0.033498984	0.0011499797
1.724624	0.027449248	0.035048988	0.0011809798
1.9210838	0.027842168	0.036876429	0.0012175286
2.0662076	0.028132414	0.039190724	0.0012638145
2.2188721	0.028437745	0.039578073	0.0012715615
2.4026239	0.028805248	0.042413726	0.0013282745
2.5512815	0.029102562	0.043712739	0.0013542548
2.7131543	0.029426308	0.04570888	0.0013941776
2.8794179	0.029758835	0.046745751	0.001414915
3.0262589	0.030052518	0.048117533	0.0014423507
3.1951013	0.030390203	0.049714059	0.0014742812
3.3646665	0.030729333	0.054181237	0.0015636247
3.5290301	0.03105806	0.052662969	0.0015332594
3.685447	0.031370893	0.054077376	0.0015615475
3.8251925	0.031650387	0.054296132	0.0015659226
3.9832196	0.03196644	0.057521649	0.001630433
4.1605201	0.03232104	0.060626034	0.0016925207
4.3115058	0.032623012	0.061813712	0.0017162742
4.4658751	0.032931749	0.061266631	0.0017053327
4.6474748	0.03329495	0.065158293	0.0017831658
